Company,Department,Department_Head
Microsoft,IT,Sarah Chen
Stripe,Finance,Michael Rodriguez
Brex,Finance,Michael Rodriguez
Apple,IT,Sarah Chen
Facebook,Marketing,James Wilson
American Express,Finance,Michael Rodriguez
Chase,Finance,Michael Rodriguez
Sage,Finance,Michael Rodriguez
Paypal,Finance,Michael Rodriguez
Ramp,Finance,Michael Rodriguez
Intuit,Finance,Michael Rodriguez
Google,Marketing,James Wilson
Salesforce,Sales,Lisa Garcia
Xero,Finance,Michael Rodriguez
Netsuite,Finance,Michael Rodriguez
Airbase,Finance,Michael Rodriguez
